Шанс дефолта - 32.682% ; Скоринг: 670; Оценка: Slightly Good
Шанс дефолта - 30.721% ; Скоринг: 681; Оценка: Slightly Good
Шанс дефолта - 0.0% ; Скоринг: 850; Оценка: Very Good
Шанс дефолта - 37.552% ; Скоринг: 643; Оценка: Bad
Шанс дефолта - 20.833% ; Скоринг: 735; Оценка: Good
Шанс дефолта - 56.072% ; Скоринг: 542; Оценка: Very Bad
Шанс дефолта - 40.731% ; Скоринг: 626; Оценка: Bad
Шанс дефолта - 15.293% ; Скоринг: 766; Оценка: Good
Шанс дефолта - 42.069% ; Скоринг: 619; Оценка: Bad
Шанс дефолта - 28.344% ; Скоринг: 694; Оценка: Slightly Good
Шанс дефолта - 30.721% ; Скоринг: 681; Оценка: Slightly Good
Шанс дефолта - 26.328% ; Скоринг: 705; Оценка: Good
Шанс дефолта - 20.219% ; Скоринг: 739; Оценка: Good
Шанс дефолта - 30.026% ; Скоринг: 685; Оценка: Slightly Good
Шанс дефолта - 59.77% ; Скоринг: 521; Оценка: Very Bad
Шанс дефолта - 56.072% ; Скоринг: 542; Оценка: Very Bad
Шанс дефолта - 32.682% ; Скоринг: 670; Оценка: Slightly Good
Шанс дефолта - 9.434% ; Скоринг: 798; Оценка: Very Good
Шанс дефолта - 32.682% ; Скоринг: 670; Оценка: Slightly Good
Шанс дефолта - 15.293% ; Скоринг: 766; Оценка: Good
Шанс дефолта - 22.609% ; Скоринг: 726; Оценка: Good
Шанс дефолта - 40.731% ; Скоринг: 626; Оценка: Bad
Шанс дефолта - 20.952% ; Скоринг: 735; Оценка: Good
Шанс дефолта - 20.833% ; Скоринг: 735; Оценка: Good
Шанс дефолта - 30.721% ; Скоринг: 681; Оценка: Slightly Good
Шанс дефолта - 37.552% ; Скоринг: 643; Оценка: Bad
Шанс дефолта - 15.293% ; Скоринг: 766; Оценка: Good
Шанс дефолта - 26.328% ; Скоринг: 705; Оценка: Good
Шанс дефолта - 20.833% ; Скоринг: 735; Оценка: Good
Шанс дефолта - 37.941% ; Скоринг: 641; Оценка: Bad
Шанс дефолта - 17.576% ; Скоринг: 753; Оценка: Good
Шанс дефолта - 26.328% ; Скоринг: 705; Оценка: Good
